example,time_sampling,time_training,time_Z3,result,lastPhase,,,TIME,SOLVED,,
155,278.102,367.364,3045.305,5.946,T,T,,3696.717,FALSE,FALSE,
156,261.602,290.11,956.539,5.553,Y,S,,1513.804,FALSE,TRUE,
157,105.015,71.673,831,5.564,Y,S,,1013.252,FALSE,TRUE,
158,56.127,56.123,976.062,6.095,Y,S,,1094.407,FALSE,TRUE,
160,6.714,0.777,26.771,16.552,Y,S,,50.814,FALSE,TRUE,
161,723.731,360.232,4733.609,6.654,Y,T,,5824.226,FALSE,TRUE,
163,9.889,0.787,15.125,6.618,Y,S,,32.419,FALSE,TRUE,
164,163.315,111.984,882.079,5.834,Y,S,,1163.212,FALSE,TRUE,
165,13.195,0.793,12.646,5.559,Y,S,,32.193,FALSE,TRUE,
166,140.598,55.743,966.526,7.362,Y,S,,1170.229,FALSE,TRUE,
167,24.19,13.279,277.339,5.978,Y,S,,320.786,FALSE,TRUE,
168,41.908,0.882,14.609,6.614,Y,S,,64.013,FALSE,TRUE,
169,151.056,904.589,1325.401,6.657,T,T,,2387.703,FALSE,FALSE,
170,228.602,322.772,2443.291,5.7,T,T,,3000.365,FALSE,FALSE,
171,70.713,59.332,275.481,6.158,Y,S,,411.684,FALSE,TRUE,
,37822.901,35808.81,170127.761,864.284,,,,244623.756,FALSE,FALSE,
